statefips,year,ds_pm_pred,ds_pm_stdd
49,2013,10.090149445997577,3.484172184651943
49,2014,7.275825265212934,3.154490820939335
5,2011,10.597298254023723,3.22146257464755
5,2012,9.955148721900938,3.926868760574487
5,2013,9.724698874675506,3.901219660469667
5,2014,9.887295091297576,5.196799324813291
50,2011,7.74679317418106,2.974164407936272
50,2012,7.183914645105726,3.061620656480162
50,2013,7.018679490172722,3.071935926891007
50,2014,6.394618451161406,2.951529497022037
51,2011,9.431203860128181,2.67799752893168
51,2012,8.904840478775473,3.066774988095032
51,2013,8.353864172654705,2.935651563505926
51,2014,8.926609984352671,4.117257969022908
53,2011,7.798951051428517,2.775373402991372
53,2012,7.369401668346013,3.024466752162395
53,2013,7.73835439317339,3.346919883107546
53,2014,7.215197740217967,3.335379249659426
54,2011,10.136150492556323,3.164027664225065
54,2012,9.524330081967213,3.682364329754324
54,2013,8.895082940450583,3.519391552417072
54,2014,9.486480780199253,4.881424510358882
55,2011,9.807034482545294,2.934875077656994
55,2012,9.455731316587344,3.627430131010439
55,2013,8.935372675897285,3.52759476435803
55,2014,9.442966868483331,4.801435801698826
56,2011,5.90001878902034,2.712466165006227
56,2012,6.258089242217254,2.730486870363471
56,2013,5.198567156704027,2.414342001037775
56,2014,4.231557677874637,2.076433208219178
6,2011,10.431304434857562,2.803871730301574
6,2012,9.805871081700446,3.401782606674279
6,2013,10.608746650316909,3.839448699221359
6,2014,10.691320571951884,4.703964131771621
8,2011,6.43869466436711,2.314445814909462
8,2012,6.920251361263874,2.59586391845717
8,2013,6.483024370137206,2.458226312140123
8,2014,6.674491234741218,3.114788280487404
9,2011,9.28439758352529,2.494633309555992
9,2012,8.072118582794466,2.612901350794624
9,2013,8.406928676999851,2.795786838904771
9,2014,8.201116245154254,3.427871805971876
